#      Train        Test
     0.76661     0.888889 
    0.793867     0.840278 
    0.809199     0.861111 
    0.781942        0.875 
    0.773424     0.840278 
    0.817717     0.854167 
    0.792164     0.881944 
    0.785349     0.888889 
    0.816014     0.833333 
    0.768313     0.826389 
    0.824532     0.881944 
    0.783646        0.875 
    0.785349     0.868056 
    0.783646       0.8125 
    0.807496     0.868056 
    0.812606     0.888889 
    0.787053       0.8125 
    0.788756     0.861111 
    0.785349     0.854167 
    0.798978        0.875 
    0.787053     0.881944 
    0.804089     0.868056 
    0.797274     0.861111 
    0.763203     0.868056 
    0.810903     0.881944 
     0.81431     0.888889 
    0.781942     0.881944 
    0.819421     0.854167 
    0.812606     0.854167 
    0.778535     0.833333 
    0.759796     0.777778 
    0.793867     0.847222 
     0.79046     0.854167 
    0.797274     0.833333 
    0.787053     0.847222 
    0.827939     0.868056 
    0.816014     0.881944 
    0.805792     0.847222 
    0.798978     0.784722 
    0.802385     0.819444 
    0.787053     0.888889 
     0.81431     0.868056 
    0.810903     0.854167 
    0.829642     0.847222 
    0.798978     0.798611 
    0.810903     0.909722 
    0.798978     0.881944 
    0.795571     0.881944 
    0.829642     0.805556 
    0.787053     0.861111 
    0.785349     0.833333 
    0.795571     0.881944 
    0.809199     0.847222 
     0.79046     0.854167 
    0.809199     0.881944 
    0.788756     0.881944 
    0.822828     0.861111 
    0.797274        0.875 
    0.804089     0.909722 
    0.817717     0.861111 
     0.79046     0.888889 
    0.804089     0.847222 
    0.817717        0.875 
    0.827939     0.854167 
    0.821124     0.854167 
    0.826235        0.875 
    0.810903     0.888889 
    0.816014        0.875 
     0.81431     0.861111 
    0.812606     0.840278 
    0.841567     0.861111 
    0.797274     0.881944 
    0.824532        0.875 
    0.812606        0.875 
    0.819421     0.847222 
    0.805792        0.875 
    0.800681        0.875 
    0.829642     0.854167 
     0.81431     0.861111 
    0.805792     0.902778 
    0.793867     0.868056 
    0.809199     0.895833 
    0.817717        0.875 
    0.822828     0.868056 
    0.797274     0.868056 
    0.817717     0.854167 
    0.816014     0.833333 
    0.816014     0.840278 
    0.817717     0.881944 
    0.793867     0.868056 
    0.802385     0.847222 
     0.81431        0.875 
    0.804089     0.854167 
    0.817717     0.861111 
    0.816014        0.875 
     0.81431     0.881944 
    0.826235     0.881944 
    0.809199     0.840278 
    0.809199     0.847222 
    0.810903     0.861111 
    0.819421     0.833333 
    0.819421         0.75 
    0.788756     0.881944 
    0.812606     0.798611 
    0.798978     0.888889 
    0.809199     0.847222 
    0.807496     0.840278 
    0.781942        0.875 
    0.826235     0.881944 
    0.778535     0.854167 
     0.81431     0.861111 
    0.812606        0.875 
    0.795571     0.881944 
    0.822828     0.868056 
    0.776831     0.895833 
    0.788756        0.875 
    0.816014        0.875 
    0.805792     0.888889 
    0.802385     0.881944 
    0.798978     0.854167 
    0.798978     0.854167 
    0.817717     0.881944 
    0.809199     0.854167 
    0.804089     0.868056 
    0.807496     0.909722 
    0.829642        0.875 
    0.810903     0.854167 
    0.809199     0.881944 
