#      Train        Test
     4.46935      3.93823 
     4.75543       4.2165 
     4.59822      3.19544 
     4.71729      3.24623 
     4.45173      3.46666 
     4.38644      3.11459 
       4.602      3.59963 
     4.61616      3.76598 
     4.42017      3.14963 
     4.58782      4.26492 
     4.18622      3.35454 
     4.34213       3.3139 
     4.31383      3.54976 
     4.44496      3.50008 
     4.66505       3.3448 
      4.3311      3.13594 
      4.4943      3.76906 
     4.41554      3.92903 
     4.43202      3.43207 
     4.46745      3.52568 
     4.52432      3.53341 
     4.13062      3.59627 
     4.53803      3.62407 
     4.42995       3.2006 
     4.23261      4.42771 
     4.74748       4.0758 
     4.32674      3.19925 
     4.52872      3.80173 
      4.7759      3.37289 
     4.58547      4.63918 
     4.68221      4.14365 
     4.55356      3.59448 
     4.43822      4.38815 
     4.51166      3.81857 
      4.6185      3.64873 
     4.30495      3.18566 
     4.36819      3.57021 
     4.50472      3.76214 
     4.36633      3.37328 
     4.73081      3.73006 
      4.5115       3.1282 
     4.47718      3.46204 
     4.86736      3.31965 
     4.44223      4.26877 
      4.3278      3.92361 
     4.81025      4.07482 
     4.76428      4.39649 
     4.42369      3.95438 
     4.46193      3.54176 
     4.54015      3.94261 
     4.48503      3.58081 
     4.31373      3.67314 
     4.22097      3.45263 
      4.4715      3.79236 
     4.55127      5.01891 
      4.4151      4.70439 
      4.6333      3.39028 
     4.32488      3.55318 
     4.30046      3.70453 
     4.35779      3.75998 
     4.45371       4.4083 
       4.363       3.3407 
      4.4794      4.05427 
      4.4845      3.16116 
     4.27874      4.48592 
     4.62805      3.76728 
      4.7739      4.42711 
     4.57606      3.06873 
     4.26255      3.54985 
     4.42453      3.56728 
      4.3421      3.43029 
     4.43868      3.27292 
     4.38561      4.00565 
     4.30772      3.91879 
     4.23137      3.50615 
     4.23961       3.9799 
     4.32506      3.41102 
     4.39745      3.81252 
     4.17711      3.67572 
     4.14853      4.30018 
     4.23207      3.59915 
     4.09098      3.76234 
     4.27069      3.57372 
     4.39219      3.83895 
     4.33175      4.06218 
     4.24568      3.56662 
     3.86218      3.72297 
     4.39018      3.44669 
     4.27819      3.59156 
     4.12482      3.95757 
      4.1153      3.77546 
     4.10823      3.40882 
     4.33766      3.41972 
     4.05629      4.06981 
     4.10868      3.42598 
     4.25241      3.21681 
     4.40998      3.60121 
     4.27387      3.31928 
     4.24429      3.39204 
     4.35142      3.23935 
      4.6014      3.55729 
     4.20852      3.73715 
     4.22732      3.73512 
     4.13699      3.61732 
     4.13308      3.41341 
     4.37371      3.26973 
     4.32428       3.7215 
     4.27762      3.55568 
     4.31184      3.50764 
     4.28786      3.57278 
     4.37441         3.27 
     4.36575       3.7757 
     4.28029      3.45034 
     4.32511      3.96054 
     4.33777      3.54482 
     4.18983      3.55992 
     4.17088      3.75801 
     4.10869      4.82264 
     4.61611      3.22866 
     4.31972      4.40236 
     4.32021        3.115 
     4.22618      3.74488 
     4.31827       3.9862 
     4.41068      3.58037 
     4.21646      3.09649 
     4.38055      3.66543 
     4.43827      3.38316 
     4.14685      3.78509 
     4.38552      3.79931 
     4.25423       3.2715 
     4.44677      3.50009 
     4.48954      3.59717 
     4.35188      3.16424 
     4.21415      3.49091 
     4.19358      3.37832 
     4.32949      3.66618 
     4.48012      3.73719 
     4.24055      3.42271 
     4.19599       3.6746 
     4.25868      3.65401 
     4.25152      3.06882 
     4.09868      3.94657 
     4.25388      3.38946 
     4.17693      3.67664 
     4.09759      3.40051 
     4.31513      3.49098 
     4.43442      3.15442 
     4.07021      3.31366 
     4.03089      3.92351 
     4.22649      2.90533 
     4.36367      3.28866 
     4.35123      3.14125 
     4.23107      3.52462 
     3.98573      3.39228 
     3.94789      3.68774 
     4.09169      4.12664 
     4.11659      3.67913 
     4.31381      3.10749 
     4.11943      3.11616 
     4.21174      3.44864 
     4.03131      3.12748 
     4.19542      3.23368 
     4.21442      3.30704 
     3.74672       3.2405 
      4.1801      3.81359 
     4.03549      3.43042 
     4.18407      3.90808 
     4.10137      3.39668 
     4.01604      3.99193 
     4.32999      3.79446 
      4.2489      3.65592 
     4.14137      3.52488 
     4.10255      3.49084 
     4.00066      3.53319 
     4.15393      3.06625 
      4.0126      3.59217 
     4.08163      3.75533 
     4.25384      3.30927 
     4.24579       3.2803 
     3.98051      3.89717 
     4.09311      3.40855 
     4.25507      3.00049 
     4.11551      3.18428 
     4.20284      3.43792 
     4.12909      3.70963 
     4.41569       3.2573 
     4.19505       3.0848 
     4.22399      3.42895 
     4.10312      3.01854 
     4.10375      4.07541 
     4.04126      3.28249 
     3.98833      3.56343 
     4.22848      3.41494 
     4.07322      3.69445 
     4.14317      2.92394 
     4.13936      3.43683 
     4.39993      3.07293 
     4.15076      3.49788 
     4.22074      3.88452 
     4.12483      3.56734 
     4.17352      3.31133 
     4.17655      4.15829 
     4.14578      3.24389 
     4.53708      3.32999 
     4.24733      3.25848 
     4.19491      3.28622 
     4.09097      3.28294 
      4.0473      3.35959 
     3.87811       3.2991 
      4.1691      3.10141 
     4.02869      3.75662 
     4.14591      3.34844 
     4.34601      3.47378 
     4.17145      4.21978 
     4.04561      3.02225 
     4.03387      3.52465 
     3.89981      3.85231 
     4.17624      3.50139 
     4.01306      3.69209 
     4.37188      3.46034 
     4.24449      3.29816 
     4.13508      3.42229 
     4.14158      3.68428 
     4.12806       3.7357 
     4.22403      3.59293 
     4.33581      3.48903 
     4.27829      2.95571 
     4.19487      3.46566 
     4.18848      3.56609 
     3.98676       3.2845 
     4.09177      3.41679 
     4.25541      2.81217 
     4.11243       3.5851 
     4.24321      3.32897 
     3.96167      3.55594 
